1.744,0.132
1.368,0.12
1.216,0.128
0.512,0.052
0.016,0.0
0.012,0.0
0.02,0.0
0.028,0.0
0.028,0.0
0.08,0.0
0.02,0.0
0.016,0.0
0.016,0.0
0.012,0.0
0.016,0.0
0.036,0.0
0.052,0.0
0.016,0.0
0.012,0.0
0.016,0.0
0.012,0.0
0.016,0.0
0.052,0.0
0.036,0.0
0.016,0.0
0.012,0.0
0.012,0.0
0.016,0.0
0.016,0.0
0.076,0.0
0.064,0.0
0.048,0.0
0.036,0.0
0.048,0.0
0.044,0.0
0.048,0.0
0.108,0.0
0.064,0.0
0.196,0.02
0.756,0.064
0.9,0.064
0.048,0.0
0.096,0.0
0.068,0.0
0.048,0.0
0.052,0.0
0.056,0.0
0.052,0.0
0.072,0.0
0.092,0.0
0.056,0.0
0.052,0.0
0.048,0.0
0.056,0.0
0.048,0.0
0.112,0.0
0.044,0.0
0.044,0.0
0.536,0.06
1.104,0.084
1.484,0.108
1.332,0.152
1.28,0.14
0.14,0.04
0.068,0.0
0.108,0.0
0.068,0.0
0.032,0.0
0.036,0.0
0.036,0.0
0.044,0.0
0.088,0.0
0.036,0.0
0.036,0.0
0.06,0.0
0.092,0.0
0.1,0.0
0.148,0.0
0.088,0.0
0.088,0.0
0.088,0.0
0.096,0.0
0.104,0.0
0.156,0.0
0.108,0.0
0.452,0.0
0.26,0.0
0.092,0.0
0.132,0.0
0.088,0.0
0.048,0.0
0.024,0.0
0.02,0.0
0.016,0.0
0.056,0.0
0.036,0.0
