BUSLVMAR1,495722.2072788707,1099268.773223331
BUSLVMAR2,494367.71191748406,1099315.2059273776
BUSLVMAR3,499301.9540985335,1099791.005287867
BUSLVMAR4,494347.7313094642,1099209.905831268
BUSLVMAR5,494348.02801345976,1099207.1693832667
BUSLVMAR6,494347.04478146136,1099216.2379272727
BUSLVMAR7,494346.1364294598,1099224.616231285
BUSLVMAR8,494345.13361345977,1099233.8649992924
BUSLVMAR9,495802.54658924846,1099241.4006736882
BUSLVMAR10,495795.62379094306,1099243.1448073033
BUSLVMAR11,495788.85380693525,1099244.9615113046
BUSLVMAR12,495690.911598837,1099246.4545033071
BUSLVMAR13,495690.11870283866,1099242.127015302
BUSLVMAR14,495774.64350292087,1099248.6856073104
BUSLVMAR15,495771.3923029201,1099249.5375753064
BUSLVMAR16,495768.3016149145,1099250.3474953119
BUSLVMAR17,494342.70039745513,1099256.3067273162
BUSLVMAR18,495744.0120788915,1099257.2077193167
BUSLVMAR19,495734.65387088154,1099259.6991753224
BUSLVMAR20,495718.57860686723,1099263.3577993233
BUSLVMAR21,495694.5085908401,1099269.805607332
BUSLVMAR22,494341.0225734534,1099271.7803913336
BUSLVMAR23,495673.0106068179,1099275.8185993358
BUSLVMAR24,495659.70462280436,1099279.4417033382
BUSLVMAR25,495651.79403079767,1099281.523431342
BUSLVMAR26,495640.3274067863,1099284.5407753417
BUSLVMAR27,495635.26187078055,1099285.873831345
BUSLVMAR28,495629.557422773,1099287.3750153482
BUSLVMAR29,494339.0486214543,1099289.147623349
BUSLVMAR30,495617.28772676084,1099290.6036873497
BUSLVMAR31,495613.727982757,1099291.5405193549
BUSLVMAR32,494328.94922944345,1099303.0337033663
BUSLVMAR33,494325.29367743834,1099302.7289993633
BUSLVMAR34,494337.1476294533,1099303.7172233646
BUSLVMAR35,494340.09137345664,1099303.962599367
BUSLVMAR36,494353.1283014687,1099305.2685193643
BUSLVMAR37,494363.02487747726,1099306.2863113657
BUSLVMAR38,494366.7775174803,1099306.6722313687
BUSLVMAR39,494379.3338694945,1099307.963623371
BUSLVMAR40,494385.3480134988,1099308.582119368
BUSLVMAR41,494394.27908550977,1099309.5005193688
BUSLVMAR42,494399.17118151416,1099310.0036873706
BUSLVMAR43,494408.37207752536,1099310.949991375
BUSLVMAR44,494415.5882695312,1099311.6920713726
BUSLVMAR45,494416.53079753026,1099311.7890313752
BUSLVMAR46,494409.93770952633,1099339.347111402
BUSLVMAR47,494363.2090054787,1099345.6829834057
BUSLVMAR48,494361.4789184751,1099345.550655704
BUSLVMAR49,494361.5777734742,1099345.84618341
BUSLVMAR50,494365.12868548,1099345.9035274088
BUSLVMAR51,494365.88106948324,1099345.989927411
BUSLVMAR52,494409.2621895233,1099346.1741194092
BUSLVMAR53,494369.73041348625,1099346.4321034048
BUSLVMAR54,494376.5263814889,1099347.212775413
