,DSS_NAME,KWH,BUS_BT,X,Y,EUCLID_DISTANCE,SECTOR,GROUP_LV
60,n_1FMAR61,131.92,BUSLVMAR137,499250.279026482,1099805.36650388,53.6335491743311,R,3
61,n_1FMAR62,34.73,BUSLVMAR118,499304.714610536,1099768.97987984,22.19772567416758,C,3
62,n_1FMAR63,984.72,BUSLVMAR119,499443.33733068,1099776.67197585,142.1079243580977,C,3
63,n_1FMAR64,227.86,BUSLVMAR133,499333.198002566,1099785.63991186,31.701242859357563,R,3
64,n_1FMAR65,74.85,BUSLVMAR110,499386.537202619,1099751.13098382,93.5107567054528,R,3
65,n_1FMAR66,319.86,BUSLVMAR113,499347.684018582,1099755.85808783,57.676262515796914,C,3
66,n_1FMAR67,389.12,BUSLVMAR174,494335.97572545,1099267.79811933,57.04985669048284,C,2
67,n_1FMAR68,2081.71,BUSLVMAR198,494348.01911746,1099348.33917541,38.54372190159889,C,2
68,n_1FMAR69,4425.14,BUSLVMAR188,494383.488301497,1099321.10231138,16.842257476506127,C,2
69,n_1FMAR70,233.56,BUSLVMAR186,494372.549293488,1099318.91549538,6.095990600308424,R,2
70,n_1FMAR71,155.76,BUSLVMAR203,494365.800621479,1099366.60458343,51.43418023659773,R,2
71,n_1FMAR72,196.77,BUSLVMAR181,494337.03658945,1099288.90839135,40.40465506491023,R,2
72,n_1FMAR73,168.57,BUSLVMAR204,494415.456109531,1099368.00829543,71.18706305595809,R,2
73,n_1FMAR74,148.31,BUSLVMAR205,494392.597101506,1099392.96560746,81.64459706979092,R,2
74,n_1FMAR75,495.91,BUSLVMAR193,494349.463725463,1099340.3524874,31.070017589721882,C,2
75,n_1FMAR76,0.0,BUSLVMAR189,494328.774189442,1099322.72810338,39.657657479753,R,2
76,n_1FMAR77,0.0,BUSLVMAR143,494335.54282945,1099218.65437528,101.7696046809518,C,2
77,n_1FMAR78,257.58,BUSLVMAR194,494349.011821464,1099344.59709541,34.835819920319516,C,2
78,n_1FMAR79,840.18,BUSLVMAR184,494340.281901452,1099312.54583137,27.558698992945516,C,2
79,n_1FMAR80,462.75,BUSLVMAR201,494416.058605529,1099355.55703142,62.973120001184114,C,2
80,n_1FMAR81,488.04,BUSLVMAR185,494352.804525465,1099313.51888737,15.002547808255025,C,2
81,n_1FMAR82,1252.64,BUSLVMAR196,494368.340013482,1099340.0255114,24.827530197901115,C,2
82,n_1FMAR83,956.35,BUSLVMAR142,494354.777005468,1099197.76560726,118.15050037013476,C,2
83,n_1FMAR84,213.78,BUSLVMAR200,494348.717101462,1099354.39139942,43.54657569760621,C,2
84,n_1FMAR85,0.41,BUSLVMAR197,494375.91498949,1099341.4006794,27.44914249982052,C,2
85,n_1FMAR86,212.57,BUSLVMAR144,494338.25610945,1099231.40298329,88.82892583096225,C,2
86,n_1FMAR87,2109.33,BUSLVMAR199,494417.338989534,1099348.70621541,59.87583468150077,R,2
87,n_1FMAR88,1926.14,BUSLVMAR195,494360.492269475,1099338.6123274,24.494547953409455,C,2
88,n_1FMAR89,71.54,BUSLVMAR202,494415.800173531,1099361.83837542,66.98556247740571,C,2
89,n_1FMAR90,2256.92,BUSLVMAR190,494326.995309439,1099322.93143138,41.44304021995988,R,2
90,n_1FMAR91,93.6,BUSLVMAR192,494349.378669463,1099337.7185034,29.03315453386819,C,2
91,n_1FMAR92,0.0,BUSLVMAR156,494338.900717452,1099251.39107931,70.01728415772807,C,2
