0.012,0.0
0.056,0.052
0.032,0.024
0.012,0.0
0.036,0.028
0.048,0.044
0.012,0.0
0.012,0.0
0.068,0.072
0.012,0.0
0.016,0.0
0.028,0.02
0.056,0.056
0.012,0.0
0.012,0.0
0.06,0.056
0.024,0.016
0.012,0.0
0.016,0.004
0.068,0.072
0.016,0.004
0.012,0.0
0.012,0.0
0.06,0.06
0.028,0.02
0.012,0.0
0.024,0.012
0.06,0.06
0.012,0.0
0.012,0.0
0.036,0.028
0.052,0.048
0.012,0.0
0.012,0.0
0.028,0.016
0.06,0.06
0.012,0.0
0.092,0.0
0.168,0.048
0.12,0.004
0.132,0.0
0.2,0.032
0.18,0.012
0.236,0.0
0.232,0.016
0.264,0.02
0.232,0.0
0.24,0.004
0.292,0.04
0.236,0.0
0.384,0.024
0.396,0.064
0.244,0.0
0.264,0.012
0.28,0.048
0.228,0.0
0.228,0.0
0.248,0.016
0.28,0.044
0.228,0.0
0.236,0.0
0.244,0.012
0.292,0.048
0.236,0.0
0.24,0.0
0.264,0.008
0.328,0.04
0.264,0.004
0.244,0.0
0.264,0.004
0.776,0.04
0.384,0.008
0.38,0.06
0.292,0.048
0.268,0.024
0.264,0.0
0.288,0.036
0.268,0.028
0.28,0.0
0.284,0.02
0.276,0.04
0.236,0.0
0.172,0.0
0.052,0.048
0.044,0.044
0.012,0.0
0.016,0.0
0.056,0.052
0.04,0.036
0.012,0.0
0.012,0.0
0.056,0.056
0.036,0.032
0.012,0.0
0.036,0.024
0.048,0.048
