hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)"
17, 600.00000, 0.978685, 0.198731, 0, 0
17, 1200.00000, 1.02215, 0.207556, 0, 0
17, 1800.00000, 1.06382, 0.216017, 0, 0
17, 2400.00000, 1.13739, 0.230956, 0, 0
17, 3000.00000, 1.1468, 0.232867, 0, 0
18, 0.00000, 1.17911, 0.239428, 0, 0
18, 600.00000, 1.20324, 0.24433, 0, 0
18, 1200.00000, 1.29588, 0.263141, 0, 0
18, 1800.00000, 1.32391, 0.268831, 0, 0
18, 2400.00000, 1.29003, 0.261952, 0, 0
18, 3000.00000, 1.29317, 0.262589, 0, 0
19, 0.00000, 1.2788, 0.25967, 0, 0
19, 600.00000, 1.28522, 0.260976, 0, 0
19, 1200.00000, 1.2769, 0.259286, 0, 0
19, 1800.00000, 1.23788, 0.251363, 0, 0
19, 2400.00000, 1.20812, 0.245319, 0, 0
19, 3000.00000, 1.14968, 0.233451, 0, 0
20, 0.00000, 1.20861, 0.245419, 0, 0
20, 600.00000, 1.15568, 0.234669, 0, 0
20, 1200.00000, 1.13809, 0.231099, 0, 0
20, 1800.00000, 1.07547, 0.218384, 0, 0
20, 2400.00000, 1.05004, 0.21322, 0, 0
20, 3000.00000, 1.04489, 0.212173, 0, 0
21, 0.00000, 1.00962, 0.205013, 0, 0
21, 600.00000, 0.990245, 0.201078, 0, 0
21, 1200.00000, 0.979114, 0.198817, 0, 0
21, 1800.00000, 0.907848, 0.184346, 0, 0
21, 2400.00000, 0.86829, 0.176314, 0, 0
21, 3000.00000, 0.828381, 0.16821, 0, 0
22, 0.00000, 0.754736, 0.153256, 0, 0
22, 600.00000, 0.756315, 0.153576, 0, 0
22, 1200.00000, 0.743827, 0.151041, 0, 0
22, 1800.00000, 0.709597, 0.14409, 0, 0
22, 2400.00000, 0.68214, 0.138514, 0, 0
22, 3000.00000, 0.6282, 0.127561, 0, 0
23, 0.00000, 0.583369, 0.118458, 0, 0
23, 600.00000, 0.554113, 0.112517, 0, 0
23, 1200.00000, 0.528443, 0.107305, 0, 0
23, 1800.00000, 0.476891, 0.0968369, 0, 0
23, 2400.00000, 0.45105, 0.0915896, 0, 0
23, 3000.00000, 0.46138, 0.0936871, 0, 0
24, 0.00000, 0.443107, 0.0899767, 0, 0
