hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2
0, 600.00000, 138.493, -0.0189251, 0, 0, 3.12743, -11.4973, 3.12743, 168.503
0, 1200.00000, 138.489, -0.0187866, 0, 0, 3.09572, -11.4971, 3.09572, 168.503
0, 1800.00000, 138.491, -0.0189331, 0, 0, 3.09726, -11.4973, 3.09726, 168.503
0, 2400.00000, 138.499, -0.0184719, 0, 0, 2.89642, -11.4968, 2.89642, 168.503
0, 3000.00000, 138.496, -0.0176742, 0, 0, 2.79749, -11.496, 2.79749, 168.504
1, 0.00000, 138.494, -0.0169541, 0, 0, 2.74192, -11.4953, 2.74192, 168.505
1, 600.00000, 138.5, -0.0164327, 0, 0, 2.61564, -11.4948, 2.61564, 168.505
1, 1200.00000, 138.494, -0.0159778, 0, 0, 2.57604, -11.4943, 2.57604, 168.506
1, 1800.00000, 138.499, -0.016463, 0, 0, 2.54562, -11.4948, 2.54562, 168.505
1, 2400.00000, 138.508, -0.0183658, 0, 0, 2.52766, -11.4967, 2.52766, 168.503
1, 3000.00000, 138.523, -0.0191178, 0, 0, 2.42458, -11.4975, 2.42458, 168.503
2, 0.00000, 138.516, -0.0168858, 0, 0, 2.36454, -11.4952, 2.36454, 168.505
2, 600.00000, 138.5, -0.0154891, 0, 0, 2.36626, -11.4938, 2.36626, 168.506
2, 1200.00000, 138.493, -0.0137641, 0, 0, 2.27477, -11.4921, 2.27477, 168.508
2, 1800.00000, 138.5, -0.015164, 0, 0, 2.28324, -11.4935, 2.28324, 168.507
2, 2400.00000, 138.502, -0.0159569, 0, 0, 2.34272, -11.4943, 2.34272, 168.506
2, 3000.00000, 138.513, -0.0143773, 0, 0, 2.22313, -11.4927, 2.22313, 168.507
3, 0.00000, 138.507, -0.0141671, 0, 0, 2.20878, -11.4925, 2.20878, 168.507
3, 600.00000, 138.502, -0.0140624, 0, 0, 2.22259, -11.4924, 2.22259, 168.508
3, 1200.00000, 138.495, -0.0120759, 0, 0, 2.20913, -11.4904, 2.20913, 168.51
