hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)"
0, 600.00000, 2.09023, 0.60965, 0, 0
0, 1200.00000, 1.99183, 0.580951, 0, 0
0, 1800.00000, 2.02143, 0.589583, 0, 0
0, 2400.00000, 2.06891, 0.603432, 0, 0
0, 3000.00000, 1.95983, 0.571618, 0, 0
1, 0.00000, 1.88989, 0.551218, 0, 0
1, 600.00000, 1.94971, 0.568666, 0, 0
1, 1200.00000, 1.78629, 0.521002, 0, 0
1, 1800.00000, 1.86463, 0.543849, 0, 0
1, 2400.00000, 2.01948, 0.589014, 0, 0
1, 3000.00000, 2.23805, 0.652763, 0, 0
2, 0.00000, 2.1064, 0.614369, 0, 0
2, 600.00000, 1.7828, 0.519987, 0, 0
2, 1200.00000, 1.61766, 0.471819, 0, 0
2, 1800.00000, 1.74074, 0.507715, 0, 0
2, 2400.00000, 1.79949, 0.524849, 0, 0
2, 3000.00000, 2.01257, 0.586997, 0, 0
3, 0.00000, 1.87189, 0.545968, 0, 0
3, 600.00000, 1.77703, 0.518301, 0, 0
3, 1200.00000, 1.64572, 0.480002, 0, 0
3, 1800.00000, 1.55406, 0.453268, 0, 0
3, 2400.00000, 1.65514, 0.482749, 0, 0
3, 3000.00000, 1.86485, 0.543913, 0, 0
4, 0.00000, 1.93131, 0.563299, 0, 0
4, 600.00000, 2.13377, 0.622347, 0, 0
4, 1200.00000, 2.09223, 0.610234, 0, 0
4, 1800.00000, 2.00354, 0.584368, 0, 0
4, 2400.00000, 1.99914, 0.583084, 0, 0
4, 3000.00000, 2.24137, 0.65373, 0, 0
5, 0.00000, 2.93764, 0.856801, 0, 0
5, 600.00000, 3.94242, 1.14985, 0, 0
5, 1200.00000, 3.82859, 1.11668, 0, 0
5, 1800.00000, 3.49293, 1.01878, 0, 0
5, 2400.00000, 3.74948, 1.09359, 0, 0
5, 3000.00000, 4.7448, 1.38387, 0, 0
6, 0.00000, 5.37247, 1.56695, 0, 0
6, 600.00000, 5.93184, 1.7301, 0, 0
6, 1200.00000, 6.14427, 1.79207, 0, 0
6, 1800.00000, 7.08523, 2.06647, 0, 0
6, 2400.00000, 8.35583, 2.43706, 0, 0
6, 3000.00000, 7.29541, 2.12788, 0, 0
7, 0.00000, 6.65475, 1.94099, 0, 0
7, 600.00000, 6.50996, 1.89875, 0, 0
7, 1200.00000, 6.4195, 1.87236, 0, 0
7, 1800.00000, 6.8159, 1.98796, 0, 0
7, 2400.00000, 6.64556, 1.93829, 0, 0
7, 3000.00000, 6.17685, 1.8016, 0, 0
8, 0.00000, 6.19073, 1.80562, 0, 0
8, 600.00000, 5.99026, 1.74717, 0, 0
8, 1200.00000, 5.92767, 1.72891, 0, 0
8, 1800.00000, 5.6759, 1.65548, 0, 0
8, 2400.00000, 4.73708, 1.38168, 0, 0
8, 3000.00000, 4.6448, 1.35473, 0, 0
9, 0.00000, 5.02341, 1.46516, 0, 0
9, 600.00000, 5.88918, 1.71765, 0, 0
9, 1200.00000, 6.56764, 1.91554, 0, 0
9, 1800.00000, 6.10422, 1.78042, 0, 0
9, 2400.00000, 6.77655, 1.97647, 0, 0
9, 3000.00000, 6.77571, 1.97625, 0, 0
10, 0.00000, 6.0624, 1.76822, 0, 0
10, 600.00000, 5.26183, 1.53472, 0, 0
10, 1200.00000, 5.15298, 1.50295, 0, 0
10, 1800.00000, 6.00313, 1.75088, 0, 0
10, 2400.00000, 5.48323, 1.5993, 0, 0
10, 3000.00000, 4.76513, 1.38985, 0, 0
11, 0.00000, 4.70091, 1.3711, 0, 0
11, 600.00000, 5.24448, 1.52963, 0, 0
