hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)"
0, 600.00000, 1.10948, 0.225289, 0, 0
0, 1200.00000, 1.07602, 0.218495, 0, 0
0, 1800.00000, 1.07881, 0.219062, 0, 0
0, 2400.00000, 1.03415, 0.209993, 0, 0
0, 3000.00000, 0.998822, 0.202819, 0, 0
1, 0.00000, 0.987597, 0.20054, 0, 0
1, 600.00000, 0.977058, 0.1984, 0, 0
1, 1200.00000, 0.935578, 0.189977, 0, 0
1, 1800.00000, 0.92589, 0.18801, 0, 0
1, 2400.00000, 0.884701, 0.179647, 0, 0
1, 3000.00000, 0.875196, 0.177717, 0, 0
2, 0.00000, 0.906327, 0.184037, 0, 0
2, 600.00000, 0.874609, 0.177596, 0, 0
2, 1200.00000, 0.864274, 0.175498, 0, 0
2, 1800.00000, 0.844652, 0.171514, 0, 0
2, 2400.00000, 0.851339, 0.172872, 0, 0
2, 3000.00000, 0.928106, 0.18846, 0, 0
3, 0.00000, 0.89254, 0.181238, 0, 0
3, 600.00000, 0.876023, 0.177884, 0, 0
3, 1200.00000, 0.915158, 0.18583, 0, 0
3, 1800.00000, 1.05489, 0.214205, 0, 0
3, 2400.00000, 1.06713, 0.21669, 0, 0
3, 3000.00000, 0.965293, 0.196012, 0, 0
4, 0.00000, 0.906608, 0.184095, 0, 0
4, 600.00000, 0.938476, 0.190566, 0, 0
4, 1200.00000, 0.99331, 0.2017, 0, 0
4, 1800.00000, 1.01625, 0.206358, 0, 0
4, 2400.00000, 1.0742, 0.218126, 0, 0
4, 3000.00000, 1.17725, 0.23905, 0, 0
5, 0.00000, 1.31965, 0.267969, 0, 0
5, 600.00000, 1.42049, 0.288447, 0, 0
5, 1200.00000, 2.07269, 0.420872, 0, 0
5, 1800.00000, 2.27709, 0.46238, 0, 0
5, 2400.00000, 2.50051, 0.50775, 0, 0
5, 3000.00000, 2.67163, 0.542504, 0, 0
6, 0.00000, 2.80393, 0.569366, 0, 0
6, 600.00000, 2.9381, 0.59661, 0, 0
6, 1200.00000, 3.13721, 0.637037, 0, 0
6, 1800.00000, 2.62847, 0.533751, 0, 0
6, 2400.00000, 2.77206, 0.562908, 0, 0
6, 3000.00000, 2.94008, 0.596992, 0, 0
7, 0.00000, 2.63464, 0.534984, 0, 0
7, 600.00000, 2.73162, 0.554676, 0, 0
7, 1200.00000, 2.96176, 0.601408, 0, 0
7, 1800.00000, 2.74383, 0.557165, 0, 0
7, 2400.00000, 2.73877, 0.556129, 0, 0
7, 3000.00000, 2.89171, 0.58718, 0, 0
8, 0.00000, 2.58699, 0.525315, 0, 0
8, 600.00000, 2.91722, 0.592361, 0, 0
8, 1200.00000, 3.03684, 0.616654, 0, 0
8, 1800.00000, 2.93686, 0.596354, 0, 0
8, 2400.00000, 3.02942, 0.615142, 0, 0
8, 3000.00000, 2.73803, 0.555983, 0, 0
9, 0.00000, 3.03707, 0.616703, 0, 0
9, 600.00000, 3.08682, 0.626813, 0, 0
9, 1200.00000, 3.1787, 0.64547, 0, 0
9, 1800.00000, 3.22919, 0.65571, 0, 0
9, 2400.00000, 3.15782, 0.641231, 0, 0
9, 3000.00000, 3.13245, 0.636073, 0, 0
10, 0.00000, 2.92673, 0.594292, 0, 0
10, 600.00000, 3.07276, 0.623941, 0, 0
10, 1200.00000, 3.06131, 0.621625, 0, 0
10, 1800.00000, 3.09368, 0.628209, 0, 0
10, 2400.00000, 3.04221, 0.617746, 0, 0
10, 3000.00000, 3.37014, 0.684327, 0, 0
11, 0.00000, 3.05472, 0.620291, 0, 0
11, 600.00000, 3.05641, 0.620635, 0, 0
11, 1200.00000, 3.25522, 0.661016, 0, 0
11, 1800.00000, 3.24555, 0.65903, 0, 0
11, 2400.00000, 3.10432, 0.630359, 0, 0
11, 3000.00000, 3.44077, 0.698675, 0, 0
12, 0.00000, 3.45864, 0.702322, 0, 0
12, 600.00000, 3.39979, 0.690359, 0, 0
12, 1200.00000, 3.33419, 0.677036, 0, 0
12, 1800.00000, 3.24914, 0.659755, 0, 0
12, 2400.00000, 3.37107, 0.684516, 0, 0
12, 3000.00000, 3.18433, 0.646609, 0, 0
