hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2
0, 600.00000, 138.169, 119.88, 0, 0, 15.7584, 103.62, 15.7584, -76.3798
0, 1200.00000, 138.185, 119.886, 0, 0, 15.0148, 103.626, 15.0148, -76.3741
0, 1800.00000, 138.18, 119.884, 0, 0, 15.2385, 103.624, 15.2385, -76.3758
0, 2400.00000, 138.169, 119.881, 0, 0, 15.5977, 103.621, 15.5977, -76.3789
0, 3000.00000, 138.187, 119.887, 0, 0, 14.7734, 103.627, 14.7734, -76.3727
1, 0.00000, 138.199, 119.891, 0, 0, 14.245, 103.631, 14.245, -76.3688
1, 600.00000, 138.188, 119.888, 0, 0, 14.6971, 103.627, 14.6971, -76.3725
1, 1200.00000, 138.214, 119.897, 0, 0, 13.4625, 103.637, 13.4625, -76.3631
1, 1800.00000, 138.2, 119.893, 0, 0, 14.0544, 103.632, 14.0544, -76.3676
1, 2400.00000, 138.17, 119.884, 0, 0, 15.2249, 103.624, 15.2249, -76.3764
1, 3000.00000, 138.131, 119.871, 0, 0, 16.8775, 103.611, 16.8775, -76.3893
2, 0.00000, 138.156, 119.878, 0, 0, 15.8818, 103.618, 15.8818, -76.3821
2, 600.00000, 138.212, 119.897, 0, 0, 13.4365, 103.637, 13.4365, -76.3633
2, 1200.00000, 138.241, 119.906, 0, 0, 12.1893, 103.646, 12.1893, -76.3539
2, 1800.00000, 138.218, 119.899, 0, 0, 13.119, 103.639, 13.119, -76.3608
2, 2400.00000, 138.207, 119.896, 0, 0, 13.5627, 103.636, 13.5627, -76.3641
2, 3000.00000, 138.174, 119.883, 0, 0, 15.1723, 103.623, 15.1723, -76.3771
3, 0.00000, 138.197, 119.891, 0, 0, 14.1094, 103.631, 14.1094, -76.3689
3, 600.00000, 138.213, 119.897, 0, 0, 13.3929, 103.637, 13.3929, -76.3633
3, 1200.00000, 138.239, 119.904, 0, 0, 12.4009, 103.644, 12.4009, -76.3559
