hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)","P4 (kW)","Q4 (kvar)"
11, 0.00000, -0.989219, 5.11113E-7, -0.989216, 1.43346E-6, -0.989216, -2.45346E-8, 0, 0
11, 600.00000, -0.989219, 1.99258E-6, -0.989216, -1.75219E-6, -0.989216, -2.15277E-6, 0, 0
11, 1200.00000, -0.989222, 5.83439E-6, -0.989215, -6.47933E-6, -0.98921, -5.74322E-6, 0, 0
11, 1800.00000, -1.08905, -3.45237E-6, -1.08905, 2.997E-6, -1.08905, 3.65723E-6, 0, 0
11, 2400.00000, -1.08906, 1.22674E-7, -1.08906, 9.5526E-7, -1.08906, 2.50182E-7, 0, 0
11, 3000.00000, -1.08906, -1.45267E-6, -1.08906, -1.81448E-6, -1.08906, 2.66093E-8, 0, 0
12, 0.00000, -1.08906, 7.32923E-6, -1.08906, -5.91763E-6, -1.08905, -6.88083E-6, 0, 0
12, 600.00000, -1.08906, 5.40151E-7, -1.08906, -2.24106E-8, -1.08906, -3.48379E-7, 0, 0
12, 1200.00000, -1.08906, 3.92602E-7, -1.08906, 4.70254E-7, -1.08906, 1.43973E-7, 0, 0
12, 1800.00000, -1.08906, -5.13905E-6, -1.08906, 4.84657E-6, -1.08906, 5.88838E-6, 0, 0
12, 2400.00000, -1.15655, -4.92391E-6, -1.15656, 2.76539E-6, -1.15656, 6.42246E-6, 0, 0
12, 3000.00000, -1.15656, 1.78273E-6, -1.15656, 6.05566E-7, -1.15656, -1.03071E-6, 0, 0
13, 0.00000, -1.15656, 7.9039E-8, -1.15656, 1.88123E-6, -1.15656, 7.89036E-7, 0, 0
13, 600.00000, -1.15656, 3.46525E-6, -1.15656, -3.29161E-6, -1.15656, -4.07725E-6, 0, 0
13, 1200.00000, -1.15656, 1.37255E-6, -1.15656, -1.45221E-6, -1.15656, -1.70225E-6, 0, 0
13, 1800.00000, -1.15656, -5.32415E-6, -1.15657, 3.76329E-6, -1.15656, 7.64414E-6, 0, 0
13, 2400.00000, -1.15656, -3.57611E-7, -1.15656, 3.55493E-6, -1.15656, 2.58105E-6, 0, 0
13, 3000.00000, -1.15656, 3.13265E-6, -1.15656, -2.27586E-6, -1.15656, -3.87568E-6, 0, 0
14, 0.00000, -1.15656, -5.8163E-7, -1.15656, 3.87574E-7, -1.15656, 1.17993E-6, 0, 0
14, 600.00000, -1.15656, -2.21925E-6, -1.15656, 3.35321E-6, -1.15656, 2.94764E-6, 0, 0
14, 1200.00000, -1.15656, -3.93468E-7, -1.15656, 1.33654E-6, -1.15656, 8.78725E-7, 0, 0
14, 1800.00000, -1.15656, 1.80986E-6, -1.15656, -1.81798E-6, -1.15656, -1.98643E-6, 0, 0
14, 2400.00000, -1.17169, 4.06471E-7, -1.17168, 8.45707E-7, -1.17168, -1.96048E-7, 0, 0
14, 3000.00000, -1.17169, 8.84675E-7, -1.17169, -2.85217E-7, -1.17169, -9.78139E-7, 0, 0
15, 0.00000, -1.17169, -9.91625E-7, -1.17169, 1.46983E-6, -1.17169, 1.48236E-6, 0, 0
15, 600.00000, -1.17169, -8.33191E-7, -1.17169, -6.69658E-7, -1.17169, 6.08388E-7, 0, 0
15, 1200.00000, -1.17169, -2.40595E-6, -1.17169, 7.72087E-7, -1.17169, 2.89952E-6, 0, 0
15, 1800.00000, -1.13766, 4.1295E-7, -1.13766, -7.21039E-8, -1.13766, -2.42899E-7, 0, 0
15, 2400.00000, -1.13766, 7.69412E-7, -1.13766, -7.21492E-7, -1.13766, -9.22742E-7, 0, 0
15, 3000.00000, -1.13766, -1.65263E-6, -1.13766, 1.45783E-6, -1.13766, 2.68577E-6, 0, 0
16, 0.00000, -1.13766, 2.00791E-6, -1.13766, -1.1427E-6, -1.13766, -2.60505E-6, 0, 0
16, 600.00000, -1.13766, 1.47546E-6, -1.13766, -1.19251E-6, -1.13766, -2.33745E-6, 0, 0
16, 1200.00000, -1.13766, 7.8693E-7, -1.13766, 2.8825E-7, -1.13766, -1.04061E-6, 0, 0
16, 1800.00000, -1.13766, -7.101E-7, -1.13766, 3.4769E-7, -1.13766, 9.98718E-7, 0, 0
16, 2400.00000, -0.902939, -2.48103E-7, -0.902938, -4.46362E-7, -0.902938, 5.97077E-7, 0, 0
16, 3000.00000, -0.902925, 1.37545E-6, -0.902922, -9.5123E-7, -0.902922, -1.1159E-6, 0, 0
17, 0.00000, -0.902924, 5.54318E-7, -0.902923, -6.33944E-7, -0.902923, -5.64004E-7, 0, 0
17, 600.00000, -0.902922, -8.29745E-7, -0.902925, -7.15092E-7, -0.902924, 1.52945E-7, 0, 0
17, 1200.00000, -0.902924, 6.08984E-7, -0.902922, -3.64062E-7, -0.902922, -5.18839E-7, 0, 0
17, 1800.00000, -0.526011, -2.14961E-7, -0.52601, 1.82243E-7, -0.52601, 3.40801E-7, 0, 0
17, 2400.00000, -0.526002, -5.73029E-7, -0.526003, 3.21745E-7, -0.526004, -4.687E-8, 0, 0
17, 3000.00000, -0.526003, 5.91158E-7, -0.526002, -7.11092E-7, -0.526001, 7.94343E-8, 0, 0
18, 0.00000, -0.526003, 7.39684E-7, -0.526002, -9.69184E-7, -0.526, 9.43102E-8, 0, 0
18, 600.00000, -0.526002, -1.6427E-7, -0.526002, -2.42867E-7, -0.526003, -8.76353E-8, 0, 0
18, 1200.00000, -0.526002, -5.97861E-7, -0.526003, 2.32643E-7, -0.526004, -2.12902E-8, 0, 0
18, 1800.00000, -0.526003, -5.43324E-8, -0.526003, 1.49226E-7, -0.526003, 4.26455E-8, 0, 0
18, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
18, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
